#secs,cdf
0.0,0
0.0,0.0
3.0,0.030481
5.0,0.071804
7.0,0.097836
20.0,0.164061
21.0,0.170656
28.0,0.206203
33.0,0.221181
43.0,0.244141
65.0,0.286706
99.0,0.339246
126.0,0.370999
158.0,0.404392
168.0,0.411053
252.0,0.466222
352.0,0.517459
467.0,0.565832
609.0,0.613686
630.0,0.621419
749.0,0.654436
834.0,0.673126
1180.0,0.744836
1294.0,0.762425
1385.0,0.775409
1782.0,0.816793
5378.0,0.941285
5732.0,0.945469
17761.0,0.990127
68702.0,0.999266
336541.0,1.0
336541.0,1
