#secs,cdf
2.0,0
2.0,0.0
21.0,0.032734
79.0,0.068669
119.0,0.103317
189.0,0.135035
254.0,0.185371
300.0,0.210142
342.0,0.244375
367.0,0.276443
375.0,0.313203
390.0,0.342351
516.0,0.394833
533.0,0.418433
545.0,0.446641
707.0,0.48263
744.0,0.511418
751.0,0.515252
1299.0,0.591268
1568.0,0.611229
1899.0,0.648538
3673.0,0.724742
6117.0,0.75916
7033.0,0.770495
17148.0,0.801829
17923.0,0.815311
19124.0,0.843743
76435.0,0.92189
91152.0,0.950868
163491.0,0.95924
1201570.0,1.0
1201570.0,1
