#secs,cdf
10.0,0
10.0,0.0
62.0,0.0351
114.0,0.0697
192.0,0.1048
295.0,0.1391
374.0,0.1734
583.0,0.2082
913.0,0.2434
1623.0,0.287
2199.0,0.3122
3507.0,0.3477
4329.0,0.374
6195.0,0.4232
8258.0,0.462
11825.0,0.4885
17189.0,0.5231
24429.0,0.5582
32322.0,0.5938
28296.0,0.5736
54376.0,0.6608
55993.0,0.6636
92401.0,0.7361
92524.0,0.7363
102115.0,0.7565
136079.0,0.7973
201376.0,0.8375
280559.0,0.8581
1861153.0,0.968
5156519.0,0.9915
13754720.0,1.0
13754720.0,1
