#secs,cdf
0.0,0
0.0,2e-06
0.0,0.035805
0.0,0.068072
1.0,0.104537
1.0,0.144501
1.0,0.168221
2.0,0.20483
2.0,0.233122
3.0,0.293266
3.0,0.299652
4.0,0.344223
4.0,0.349884
5.0,0.400411
6.0,0.436026
6.0,0.462616
7.0,0.476805
8.0,0.526682
9.0,0.546743
9.0,0.57682
10.0,0.588014
13.0,0.663384
15.0,0.710478
20.0,0.781287
27.0,0.827331
31.0,0.845649
75.0,0.890667
3058.0,0.99003
14735.0,0.99842
63933.0,0.999746
494932.0,1.0
494932.0,1
