#secs,cdf
4.0,0
4.0,0.0
51.0,0.0359
132.0,0.0711
157.0,0.1022
168.0,0.1406
175.0,0.1725
183.0,0.2067
190.0,0.2395
199.0,0.2765
207.0,0.3088
225.0,0.353
257.0,0.38
303.0,0.4061
472.0,0.4412
5322.0,0.528
1139.0,0.5021
9834.0,0.5394
45495.0,0.5859
68671.0,0.6306
91581.0,0.6606
103411.0,0.6691
119153.0,0.6872
197685.0,0.7647
241489.0,0.7901
252157.0,0.7965
182453.0,0.7532
561747.0,0.9237
1243753.0,0.9838
2772143.0,0.9955
9687856.0,1.0
9687856.0,1
