#secs,cdf
2.0,0
2.0,0.0
14.0,0.0376
179.0,0.0721
441.0,0.1006
734.0,0.1388
723.0,0.1289
853.0,0.2024
843.0,0.1969
1293.0,0.3499
1079.0,0.281
1295.0,0.3518
1419.0,0.3884
1431.0,0.393
2479.0,0.4571
2719.0,0.4641
6350.0,0.5309
7141.0,0.5531
8163.0,0.5781
15274.0,0.6425
31822.0,0.6814
53953.0,0.7241
61594.0,0.7572
64388.0,0.7872
65262.0,0.7921
68505.0,0.8062
82189.0,0.889
131339.0,0.9748
226930.0,0.9793
111027.0,0.9583
2132068.0,1.0
2132068.0,1
