workload,AFS,Tiresias,Themis,FIFO,PCS-JCT,PCS-bal,PCS-pred
0e4a51,239.758,313.503,212.425,0.0,115.522,14.914,7.219
b436b2,770.714,791.598,258.832,0.0,26.042,9.634,5.601
6214e9,924.858,1030.017,273.523,0.0,250.193,58.091,11.922
6c71a0,194.101,216.328,126.188,0.0,92.058,69.316,49.363
2869ce,113.631,241.127,122.788,0.0,48.08,22.211,4.709
ee9e8c,538.801,1535.729,510.721,0.0,207.113,54.937,5.185
