workload,AFS,Tiresias,Themis,FIFO,PCS-JCT,PCS-bal,PCS-pred
1,25.632,26.619,47.967,0.0,5.568,1.371,0.8
2,83.816,86.569,43.32,0.0,1.272,0.375,0.172
3,77.429,85.343,38.49,0.0,10.536,2.398,0.437
4,16.963,18.358,40.007,0.0,4.935,2.006,1.446
5,9.027,11.166,33.82,0.0,4.045,1.407,0.4
6,29.431,69.837,54.048,0.0,8.504,4.593,0.975
